"","group.id","COMMON.NAME","OBSERVATION.COUNT","LATITUDE","LONGITUDE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","PROTOCOL.TYPE","DURATION.MINUTES","ALL.SPECIES.REPORTED","EFFORT.DISTANCE.KM","NUMBER.OBSERVERS"
"38","S49633760","Blue-bearded Bee-eater","2",9.5969397,77.1757538,"05-12-2018","06:30 AM","eBird - Traveling Count",15,1,0.201,4
"39","S52131806","Blue-capped Rock-Thrush","1",9.4234574,77.0424331,"01-26-2019","08:43 AM","eBird - Traveling Count",15,1,0.28,3
"40","S52221038","Blue-eared Kingfisher","1",9.4860494,77.3770183,"01-25-2019","11:29 AM","eBird - Traveling Count",15,1,0.6,2
"41","S52277977","Blue-faced Malkoha","1",9.5333333,77.1666667,"01-25-2019","09:30 AM","eBird - Traveling Count",15,1,0.2,2
"42","S52134767","Blue-tailed Bee-eater","2",9.4642874,76.969762,"01-24-2019","04:08 PM","eBird - Traveling Count",16,1,0.113,2
"43","S52278467","Blue-throated Flycatcher","1",9.3150276,77.2847851,"01-27-2019","04:51 PM","eBird - Stationary Count",30,1,NA,4
"44","S52093918","blue flycatcher sp.","1",9.5000163,77.3322494,"01-26-2019","09:24 AM","eBird - Traveling Count",15,1,0.15,2
"45","S52166372","Blue Rock-Thrush","1",9.4838555,77.0827007,"01-26-2019","09:05 AM","eBird - Traveling Count",15,1,1.609,2
"46","S52278403","Blyth's Pipit","1",9.5987306,77.2211238,"01-25-2019","12:40 PM","eBird - Stationary Count",15,1,NA,2
"47","S52094110","Blyth's Reed Warbler","1",9.45562,77.0661504,"01-25-2019","08:36 AM","eBird - Traveling Count",15,1,0.097,2
"48","S52094534","Blyth's Swift (Fork-tailed Swift)","1",9.5491646,77.3369426,"01-26-2019","11:00 AM","eBird - Traveling Count",15,1,0.25,3
"49","S52278471","Bonelli's Eagle","1",9.528955,77.182842,"01-27-2019","02:51 PM","eBird - Traveling Count",15,1,2.855,7
"50","S52126162","Booted Eagle","1",9.5327348,77.1481419,"01-25-2019","04:09 PM","eBird - Traveling Count",15,1,0.5,3
"51","S52626335","Booted Warbler","1",9.5070822,77.2803363,"01-26-2019","08:15 AM","eBird - Stationary Count",15,1,NA,2
"52","S52277980","Booted/Sykes's Warbler","1",9.533333,77.216667,"01-25-2019","09:45 AM","eBird - Traveling Count",15,1,0.02,2
"53","S52155186","Brahminy Kite","1",9.524124,77.257719,"01-27-2019","02:03 PM","eBird - Traveling Count",15,1,2.653,7
"54","S52126177","Brahminy Starling","1",9.5281879,77.12418,"01-25-2019","07:41 AM","eBird - Traveling Count",15,1,0.6,3
"55","S49619751","Broad-tailed Grassbird","1",9.5999228,77.1911617,"05-12-2018","08:15 AM","eBird - Traveling Count",15,1,0.201,5
"56","S52094862","Bronzed Drongo","2",9.4187677,77.0485074,"01-26-2019","10:06 AM","eBird - Traveling Count",15,1,1.545,3
"57","S52127269","Brown-backed Needletail","1",9.406439,77.263723,"01-26-2019","09:57 AM","eBird - Traveling Count",14,1,0.15,2
"58","S52172873","Brown-breasted Flycatcher","1",9.53443,77.26897,"01-26-2019","11:50 AM","eBird - Traveling Count",15,1,0.423,2
"59","S52160548","Brown-capped Pygmy Woodpecker (Indian Pygmy Woodpecker)","1",9.55,77.2,"01-26-2019","09:15 AM","eBird - Traveling Count",15,1,0.2,2
"60","S52161327","Brown-cheeked Fulvetta","2",9.539384,77.279997,"01-25-2019","10:32 AM","eBird - Traveling Count",15,1,0.425,3
"61","S49619483","Brown-headed Barbet (Large Green Barbet)","1",9.5909974,77.299792,"05-12-2018","07:15 AM","eBird - Traveling Count",15,1,0.201,3
"62","S52093894","Brown Fish-Owl","1",9.5081271,77.3437397,"01-25-2019","03:36 PM","eBird - Traveling Count",15,1,0.27,2
"63","S52094148","Brown Hawk-Owl","2",9.5422734,77.1890889,"01-24-2019","06:46 PM","eBird - Stationary Count",15,1,NA,4
"64","S52172304","Brown Shrike","1",9.532917,77.26113,"01-25-2019","05:05 PM","eBird - Stationary Count",15,1,NA,2
"65","S52094800","Brown Wood-Owl","1",9.5488502,77.1424063,"01-26-2019","09:29 AM","eBird - Traveling Count",15,1,0.4,3
"66","S52277921","buttonquail sp.","1",9.5898475,77.2255294,"01-25-2019","03:55 PM","eBird - Traveling Count",15,1,0.3,4
"67","S52277980","Cattle Egret","1",9.533333,77.216667,"01-25-2019","09:45 AM","eBird - Traveling Count",15,1,0.02,2
"68","S52094417","Chestnut-headed Bee-eater","1",9.4628758,77.0537827,"01-25-2019","04:01 PM","eBird - Traveling Count",16,1,0.338,2
"69","S52155126","Chestnut-tailed Starling","1",9.536585,77.160177,"01-27-2019","03:06 PM","eBird - Traveling Count",15,1,2.379,8
"70","S52160548","Chestnut-tailed/Malabar Starling","1",9.55,77.2,"01-26-2019","09:15 AM","eBird - Traveling Count",15,1,0.2,2
"71","S52160591","Chestnut-winged Cuckoo","1",9.4810288,77.2773478,"01-27-2019","07:08 AM","eBird - Traveling Count",240,1,2,3
"72","S52160026","Cinereous Tit (Great Tit)","4",9.3437648,77.2589442,"01-26-2019","08:45 AM","eBird - Traveling Count",15,1,0.177,2
"73","S52278432","Clamorous Reed Warbler (Indian Great Reed Warbler)","1",9.427,77.183,"01-24-2019","09:25 AM","eBird - Traveling Count",15,1,1,4
"74","S52364040","Common Buzzard","1",9.4549624,77.0667838,"01-25-2019","08:52 AM","eBird - Traveling Count",15,1,0.257,2
"75","S52094862","Common Flameback (Goldenbacked Three-toed Woodpecker)","1",9.4187677,77.0485074,"01-26-2019","10:06 AM","eBird - Traveling Count",15,1,1.545,3
