"GLOBAL.UNIQUE.IDENTIFIER","CATEGORY","COMMON.NAME","SCIENTIFIC.NAME","OBSERVATION.COUNT","STATE","COUNTY","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","LATITUDE","LONGITUDE","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","DURATION.MINUTES","EFFORT.DISTANCE.KM","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","group.id","month","day","daym","cyear","year"
"URN:CornellLabOfOrnithology:EBIRD:OBS374058991","species","Asian Barred Owlet","Glaucidium cuculoides","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:55:00","obsr690941","S27569470","Traveling",15,0.2,10,1,"G1603584",0,1,0,"G1603584",2,43,12,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS375514899","species","Asian Barred Owlet","Glaucidium cuculoides","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:55:00","obsr690932","S27697232","Traveling",15,0.2,10,1,"G1603584",0,1,0,"G1603584",2,43,12,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS374025671","species","Asian Barred Owlet","Glaucidium cuculoides","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:55:00","obsr690939","S27566361","Traveling",15,0.2,10,1,"G1603584",0,1,0,"G1603584",2,43,12,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS374016815","species","Asian Barred Owlet","Glaucidium cuculoides","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:55:00","obsr550321","S27565550","Traveling",15,0.2,10,1,"G1603584",0,1,0,"G1603584",2,43,12,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373452668","species","Ashy Woodswallow","Artamus fuscus","2","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:45:00","obsr690941","S27512665","Stationary",16,NA,6,1,"G1601219",0,1,0,"G1601219",2,45,14,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373279992","species","Ashy Woodswallow","Artamus fuscus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:52:00","obsr699757","S27498162","Stationary",15,NA,8,1,"G1599470",0,1,0,"G1599470",2,44,13,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS375171831","species","Ashy Woodswallow","Artamus fuscus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:52:00","obsr542571","S27668172","Stationary",15,NA,8,1,"G1599470",0,1,0,"G1599470",2,44,13,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373987949","species","Ashy Woodswallow","Artamus fuscus","2","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:42:00","obsr699757","S27563098","Stationary",20,NA,7,1,"G1603391",0,1,0,"G1603391",2,46,15,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS372900039","species","Ashy Woodswallow","Artamus fuscus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:52:00","obsr535869","S27463698","Stationary",15,NA,8,1,"G1599470",0,1,0,"G1599470",2,44,13,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373856320","species","Ashy Woodswallow","Artamus fuscus","2","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:42:00","obsr535869","S27551402","Stationary",20,NA,7,1,"G1603391",0,1,0,"G1603391",2,46,15,2016,2015
